Mode,Status,Timer,Time
1,1,1,0:00:29,09:22:03
1,1,0,0:00:39,09:22:13
1,1,1,0:00:39,09:22:18
1,1,0,0:00:49,09:22:28
1,1,1,0:00:49,09:22:33
1,1,0,0:00:59,09:22:43
1,1,1,0:00:59,09:22:48
1,1,0,0:01:09,09:22:58
1,1,1,0:01:09,09:23:03
1,1,0,0:01:19,09:23:13
1,1,1,0:01:19,09:23:18
1,0,1,0:00:00,09:23:26
1,1,1,0:00:00,09:23:27
1,1,0,0:00:08,09:23:36
1,1,1,0:00:08,09:23:41
1,1,0,0:00:18,09:23:51
1,1,1,0:00:18,09:23:56
1,1,0,0:00:28,09:24:06
1,1,1,0:00:28,09:24:11
1,1,0,0:00:38,09:24:21
1,1,1,0:00:38,09:24:26
1,1,0,0:00:48,09:24:36
1,1,1,0:00:48,09:24:41
1,1,0,0:00:58,09:24:51
1,1,1,0:00:58,09:24:56
1,1,0,0:01:08,09:25:06
1,1,1,0:01:08,09:25:11
1,1,0,0:01:18,09:25:21
1,1,1,0:01:18,09:25:26
1,1,0,0:01:28,09:25:36
1,1,1,0:01:28,09:25:41
1,1,0,0:01:38,09:25:51
1,1,1,0:01:38,09:25:56
1,1,0,0:01:48,09:26:06
1,1,1,0:01:48,09:26:11
1,0,1,0:00:00,09:29:32
1,1,1,0:00:00,09:29:33
1,1,0,0:00:08,09:29:42
1,1,1,0:00:08,09:29:47
1,0,1,0:00:00,10:04:36
1,1,1,0:00:00,10:04:37
1,1,0,0:00:08,10:04:46
1,1,1,0:00:08,10:04:51
1,1,0,0:00:18,10:05:01
1,0,0,0:00:18,10:05:03
1,0,1,0:00:18,10:05:06
1,1,1,0:00:18,10:08:05
1,1,0,0:00:19,10:08:06
1,1,1,0:00:19,10:08:11
1,0,1,0:00:27,10:08:19
1,1,1,0:00:27,10:08:26
1,1,0,0:00:32,10:08:31
1,1,1,0:00:32,10:08:36
1,1,0,0:00:42,10:08:46
1,1,0,0:00:42,10:08:51
1,0,1,0:00:00,10:14:38
1,1,1,0:00:00,10:14:39
1,1,0,0:00:08,10:14:48
1,1,1,0:00:08,10:14:53
1,1,0,0:00:18,10:15:03
1,1,1,0:00:18,10:15:08
1,1,0,0:00:28,10:15:18
1,1,1,0:00:28,10:15:23
1,0,1,0:00:00,10:17:13
1,1,1,0:00:00,10:17:14
1,0,1,0:00:00,10:19:17
1,1,1,0:00:00,10:19:19
1,1,0,0:00:08,10:19:27
1,1,1,0:00:08,10:19:32
1,1,0,0:00:18,10:19:42
1,1,1,0:00:18,10:19:47
1,1,0,0:00:28,10:19:57
1,1,1,0:00:28,10:20:02
